timestamp,kelurahan,latitude,longitude,precip_1h,precip_3h,precip_6h,precip_12h,precip_24h,temperature,relative_humidity,surface_pressure,pressure_trend_3h,wind_speed,flood_occurrence,water_level_cm,severity_level
2024-01-05 00:00:00,cengkareng barat,-6.1674,106.7637,0.6,7.199999999999998,21.5,35.4,55.2,23.7,96,1010.6,-0.8999999999999773,3.6,1,55.0,high
2024-01-18 22:00:00,cengkareng barat,-6.1674,106.7637,0.1,0.09999999999999734,0.30000000000000004,1.3000000000000018,1.2999999999999996,26.3,83,1008.9,1.2999999999999545,14.2,0,0.0,none
2024-01-05 00:00:00,cengkareng timur,-6.1674,106.7637,0.6,7.199999999999998,21.5,35.4,55.2,23.7,96,1010.6,-0.8999999999999773,3.6,1,50.0,moderate
2024-01-18 22:00:00,cengkareng timur,-6.1674,106.7637,0.1,0.09999999999999734,0.30000000000000004,1.3000000000000018,1.2999999999999996,26.3,83,1008.9,1.2999999999999545,14.2,0,0.0,none
2024-01-05 00:00:00,duri kepa,-6.18935,106.7757,1.2,6.7,33.5,67.0,82.9,23.7,96,1010.6,-0.8999999999999773,2.4,1,45.0,moderate
2024-01-18 16:00:00,duri kepa,-6.18935,106.7757,0.0,0.8999999999999999,1.0999999999999999,1.3,1.3000000000000016,28.0,82,1005.2,-1.3999999999999773,11.2,0,0.0,none
2024-01-05 00:00:00,duri kosambi,-6.1674,106.7637,0.6,7.199999999999998,21.5,35.4,55.2,23.7,96,1010.6,-0.8999999999999773,3.6,1,65.0,high
2024-01-18 22:00:00,duri kosambi,-6.1674,106.7637,0.1,0.09999999999999734,0.30000000000000004,1.3000000000000018,1.2999999999999996,26.3,83,1008.9,1.2999999999999545,14.2,0,0.0,none
2024-01-05 00:00:00,jelambar baru,-6.1674,106.7637,0.6,7.199999999999998,21.5,35.4,55.2,23.7,96,1010.6,-0.8999999999999773,3.6,1,40.0,moderate
2024-01-18 22:00:00,jelambar baru,-6.1674,106.7637,0.1,0.09999999999999734,0.30000000000000004,1.3000000000000018,1.2999999999999996,26.3,83,1008.9,1.2999999999999545,14.2,0,0.0,none
